round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,obsolete_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55832790,5,316,160,0,0,0,399,2949,0,55,159
55832791,7,288,140,0,0,0,421,2692,0,55,140
55832792,9,306,150,0,0,0,397,2780,0,55,150
55832793,4,300,120,0,0,0,399,2672,0,55,119
55832794,8,295,137,0,0,0,411,2918,0,55,136
55832795,9,327,140,0,0,0,387,2837,0,55,139
55832796,9,301,152,0,0,0,401,2665,0,55,152
55832797,6,322,156,0,0,0,405,2886,0,55,153
55832798,6,324,139,0,0,0,409,2732,0,55,139
55832799,8,344,155,0,0,0,400,2757,0,55,143
55832800,5,303,138,0,0,0,432,2760,0,55,137
55832801,7,330,165,0,0,0,393,2988,0,55,165
55832802,8,319,137,0,0,0,424,2724,0,55,130
55832803,8,334,158,0,0,0,393,2926,0,55,154
55832804,11,300,166,0,0,0,411,2609,0,55,146
55832805,4,329,158,0,0,0,399,2844,0,55,157
55832806,6,313,162,0,0,0,436,2853,0,55,158
55832807,7,324,151,0,0,0,397,2730,0,55,151
55832808,5,326,182,0,0,0,402,2867,0,55,171
55832809,6,271,131,0,0,0,414,2514,0,55,125
55832810,8,296,170,0,0,0,389,2958,0,55,167
55832811,6,314,141,0,0,0,404,2719,0,54,133
55832812,8,293,148,0,0,0,406,2770,0,54,148
55832813,8,271,133,0,0,0,399,3014,0,54,131
55832814,7,305,152,0,0,0,361,2532,0,54,142
55832815,4,327,162,0,0,0,403,2875,0,54,119
55832816,6,304,164,0,0,0,432,2848,0,54,138
55832817,6,318,144,0,0,0,401,2622,0,54,144
55832818,8,315,136,0,0,0,416,2913,0,54,122
55832819,5,333,143,0,0,0,382,2841,0,54,138
55832820,5,329,177,0,0,0,410,2815,0,54,159
55832821,9,291,169,0,0,0,423,2923,0,54,135
55832822,7,319,148,0,0,0,402,2519,0,54,145
55832823,6,325,157,0,0,0,420,3096,0,54,117
55832824,4,321,156,0,0,0,402,2543,0,54,156
55832825,3,332,177,0,0,0,414,2986,0,54,174
55832826,6,344,154,0,0,0,435,2701,0,54,142
55832827,8,322,164,0,0,0,418,2771,0,54,135
55832828,10,301,165,0,0,0,412,2693,0,54,133
55832829,8,324,150,0,0,0,395,2826,0,54,147
55832830,6,326,165,0,0,0,400,2739,0,54,157
55832831,7,331,166,0,0,0,424,2870,0,54,148
55832832,5,293,153,0,0,0,429,2747,0,54,153
55832833,7,319,148,0,0,0,394,2755,0,53,117
55832834,2,322,147,0,0,0,402,2834,0,53,117
55832835,9,300,163,0,0,0,411,2740,0,53,154
55832836,8,315,160,0,0,0,404,2658,0,53,160
55832837,7,318,157,0,0,0,430,2939,0,53,149
55832838,6,322,160,0,0,0,407,2733,0,53,130
55832839,4,313,154,0,0,0,407,2765,0,53,138
55832840,3,323,168,0,0,0,395,2928,0,53,132
55832841,6,307,154,0,0,0,391,2744,0,53,154
55832842,9,335,170,0,0,0,393,2828,0,53,164
55832843,12,303,166,0,0,0,421,2786,0,53,149
55832844,6,341,152,0,0,0,402,2714,0,53,137
55832845,4,311,172,0,0,0,416,2860,0,53,153
55832846,5,284,156,0,0,0,407,2569,0,53,153
55832847,3,319,159,0,0,0,397,2848,0,53,151
55832848,6,294,155,0,0,0,422,2773,0,53,155
55832849,4,325,146,0,0,0,401,2874,0,53,143
55832850,6,328,159,0,0,0,395,2719,0,53,159
55832851,5,300,153,0,0,0,420,2769,0,53,121
55832852,5,318,161,0,0,0,389,2875,0,53,127
55832853,6,306,151,0,0,0,423,2728,0,53,142
55832854,7,321,160,0,0,0,386,2730,0,52,136
55832855,6,307,162,0,0,0,415,2855,0,52,156
55832856,8,316,154,0,0,0,405,2720,0,52,153
55832857,3,299,167,0,0,0,420,2751,0,52,128
55832858,5,282,175,0,0,0,408,2753,0,52,173
55832859,8,327,169,0,0,0,409,2953,0,52,153
55832860,6,312,170,0,0,0,411,2858,0,52,165
55832861,9,308,156,0,0,0,402,2728,0,52,123
55832862,7,310,148,0,0,0,404,2795,0,52,136
55832863,8,321,136,0,0,0,398,2698,0,52,120
55832864,5,322,157,0,0,0,403,2901,0,52,154
55832865,7,304,150,0,0,0,414,2816,0,52,147
55832866,5,306,163,0,0,0,396,2572,0,52,162
55832867,4,332,151,0,0,0,405,3068,0,52,134
