round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868576,7,308,146,0,0,0,348,185,0,2799,0,47,145
55868577,7,328,116,0,0,0,320,196,0,2831,0,47,116
55868578,5,305,134,0,0,0,354,181,0,2881,0,47,111
55868579,9,277,128,0,0,0,327,190,0,2659,0,47,128
55868580,8,285,132,0,0,0,290,201,0,2562,0,47,130
55868581,6,305,132,0,0,0,314,182,0,2916,0,47,129
55868582,7,249,108,0,0,0,322,197,0,2635,0,47,94
55868583,5,293,101,0,0,0,292,182,0,2668,0,47,87
55868584,6,313,166,0,0,0,319,169,0,3072,0,46,166
55868585,6,297,115,0,0,0,320,201,0,2819,0,46,86
55868586,5,341,144,0,0,0,311,173,0,2773,0,46,144
55868587,6,293,135,0,0,0,351,185,0,2605,0,46,127
55868588,6,303,132,0,0,0,307,191,0,2921,0,46,127
55868589,14,283,128,0,0,0,319,189,0,2680,0,46,127
55868590,4,322,120,0,0,0,312,189,0,2768,0,46,117
55868591,7,296,128,0,0,0,345,178,0,2934,0,46,128
55868592,6,294,139,0,0,0,311,183,0,2771,0,46,137
55868593,6,286,119,0,0,0,307,181,0,2653,0,46,115
55868594,3,305,109,0,0,0,303,178,0,2616,0,46,92
55868595,8,286,118,0,0,0,327,184,0,2897,0,46,103
55868596,4,322,133,0,0,0,291,181,0,2802,0,46,127
55868597,6,278,129,0,0,0,332,195,0,2640,0,46,126
55868598,8,331,161,0,0,0,308,191,0,3102,0,46,159
55868599,9,333,129,0,0,0,332,187,0,2645,0,46,120
55868600,7,312,125,0,0,0,344,187,0,2928,0,46,123
55868601,4,312,140,0,0,0,332,180,0,2660,0,46,134
55868602,5,289,129,0,0,0,327,211,0,2642,0,46,109
55868603,7,346,164,0,0,0,302,193,0,3135,0,46,164
55868604,3,320,157,0,0,0,350,207,0,2968,0,46,157
55868605,8,281,123,0,0,0,331,214,0,2368,0,45,87
55868606,3,305,123,0,0,0,291,178,0,2767,0,45,117
55868607,7,294,120,0,0,0,318,180,0,2731,0,45,108
55868608,5,304,153,0,0,0,306,184,0,2832,0,45,145
55868609,5,308,141,0,0,0,326,204,0,2842,0,45,139
55868610,6,292,118,0,0,0,323,199,0,2668,0,45,118
55868611,7,323,115,0,0,0,316,180,0,2868,0,45,112
55868612,7,294,130,0,0,0,351,182,0,2758,0,45,127
55868613,7,304,146,0,0,0,310,177,0,2793,0,45,135
55868614,8,275,130,0,0,0,321,200,0,2746,0,45,129
55868615,8,304,112,0,0,0,292,178,0,2957,0,45,112
55868616,6,299,129,0,0,0,328,189,0,2552,0,45,129
55868617,7,302,120,0,0,0,307,201,0,2875,0,45,118
55868618,5,315,123,0,0,0,318,163,0,2695,0,45,105
55868619,5,316,128,0,0,0,332,187,0,2827,0,45,125
55868620,12,292,114,0,0,0,338,197,0,2740,0,45,112
55868621,4,269,110,0,0,0,322,185,0,2615,0,45,110
55868622,5,303,146,0,0,0,307,194,0,3020,0,45,124
55868623,8,294,111,0,0,0,317,202,0,2596,0,45,111
55868624,7,315,136,0,0,0,323,187,0,2990,0,45,136
55868625,9,306,133,0,0,0,334,192,0,2789,0,45,133
55868626,7,323,135,0,0,0,321,184,0,2742,0,45,131
55868627,6,298,131,0,0,0,339,194,0,2751,0,44,96
55868628,10,307,129,0,0,0,312,197,0,2806,0,44,125
55868629,5,319,135,0,0,0,322,186,0,2686,0,44,116
55868630,3,318,145,0,0,0,338,200,0,2996,0,44,144
55868631,6,311,155,0,0,0,333,208,0,2746,0,44,125
55868632,6,310,155,0,0,0,320,189,0,2784,0,44,95
55868633,4,305,153,0,0,0,313,188,0,2716,0,44,145
55868634,4,325,149,0,0,0,322,199,0,2844,0,44,121
55868635,8,308,154,0,0,0,344,189,0,2873,0,44,102
55868636,11,327,169,0,0,0,314,188,0,3031,0,44,169
55868637,7,294,150,0,0,0,339,215,0,2591,0,44,150
55868638,4,299,148,0,0,0,306,199,0,2661,0,44,109
55868639,6,307,158,0,0,0,310,183,0,2740,0,44,139
55868640,7,295,152,0,0,0,317,205,0,2740,0,44,138
55868641,6,333,138,0,0,0,308,194,0,2799,0,44,124
55868642,6,333,142,0,0,0,348,188,0,2792,0,44,142
55868643,8,301,151,0,0,0,350,190,0,2807,0,44,121
55868644,6,319,137,0,0,0,311,197,0,2769,0,44,131
55868645,6,335,135,0,0,0,343,186,0,2877,0,44,124
55868646,4,297,167,0,0,0,351,182,0,2649,0,44,167
55868647,4,300,151,0,0,0,324,209,0,2810,0,44,151
55868648,7,297,148,0,0,0,323,211,0,2708,0,44,141
55868649,7,319,144,0,0,0,313,190,0,2815,0,44,131
55868650,8,323,149,0,0,0,329,182,0,2904,0,44,148
55868651,5,323,144,0,0,0,323,192,0,2704,0,44,144
55868652,7,302,135,0,0,0,332,197,0,2839,0,44,135
55868653,4,294,150,0,0,0,316,186,0,2798,0,44,150
55868654,8,304,151,0,0,0,300,203,0,2733,0,44,125
55868655,8,302,145,0,0,0,320,197,0,2938,0,44,134
55868656,10,296,149,0,0,0,320,192,0,2594,0,44,147
55868657,7,317,158,0,0,0,315,198,0,2755,0,44,133
55868658,7,333,137,0,0,0,331,201,0,2869,0,44,137
55868659,5,319,143,0,0,0,342,185,0,2769,0,44,141
55868660,9,324,156,0,0,0,332,187,0,3065,0,44,139
55868661,8,295,139,0,0,0,335,206,0,2375,0,44,139
55868662,6,310,136,0,0,0,317,206,0,2888,0,44,106
55868663,9,316,158,0,0,0,328,191,0,2730,0,44,144
55868664,7,321,140,0,0,0,332,213,0,2748,0,44,128
55868665,3,312,159,0,0,0,337,195,0,2865,0,44,158
55868666,10,290,156,0,0,0,323,219,0,2720,0,44,121
55868667,6,311,158,0,0,0,300,204,0,2839,0,44,158
55868668,7,316,154,0,0,0,322,201,0,2805,0,44,144
55868669,6,320,135,0,0,0,331,196,0,2745,0,44,115
55868670,4,337,157,0,0,0,334,190,0,2796,0,44,155
55868671,6,303,150,0,0,0,345,203,0,2767,0,44,135
55868672,5,313,151,0,0,0,311,186,0,2801,0,44,130
55868673,9,299,155,0,0,0,328,184,0,2676,0,44,146
55868674,5,321,164,0,0,0,314,202,0,2878,0,44,164
55868675,6,298,161,0,0,0,336,228,0,2819,0,44,134
55868676,10,307,138,0,0,0,306,212,0,2779,0,44,92
55868677,10,296,161,0,0,0,326,204,0,2796,0,44,160
55868678,6,323,142,0,0,0,313,193,0,2800,0,44,119
55868679,4,315,152,0,0,0,337,185,0,2690,0,44,120
55868680,5,317,132,0,0,0,327,203,0,2765,0,44,126
55868681,5,319,149,0,0,0,333,193,0,2718,0,44,134
55868682,4,303,123,0,0,0,339,195,0,2807,0,44,123
55868683,6,321,125,0,0,0,324,173,0,2725,0,44,125
55868684,4,310,160,0,0,0,339,186,0,3144,0,44,113
55868685,4,306,146,0,0,0,323,211,0,2584,0,44,111
55868686,7,287,157,0,0,0,319,185,0,2699,0,44,157
55868687,7,291,142,0,0,0,307,196,0,2705,0,44,142
55868688,6,302,147,0,0,0,313,194,0,2785,0,44,137
55868689,7,282,156,0,0,0,315,181,0,2812,0,44,143
55868690,7,292,160,0,0,0,297,201,0,2931,0,48,132
55868691,10,316,153,0,0,0,307,188,0,2649,0,48,150
55868692,8,330,156,0,0,0,311,197,0,2800,0,48,140
55868693,7,289,167,0,0,0,342,185,0,2909,0,48,163
55868694,12,320,153,0,0,0,295,200,0,2695,0,48,132
