Address,Owner,DeFi,Inc. Eligible,Balance,Voting %,Blocks (All time),Ⱥ Payouts (All),Blocks (Last 100K),Ⱥ Payouts (100K),Blocks (Last 1M),Ⱥ Payouts (1M),Update Round,First Valid,Last Valid,Est. Expiration,Key Dilution
XPFLTWI4ICLPEL7VCS7SVL7ZBSAL4KLYHX5PQ47RKHH7RWVDB7OCFEJJKY,,No,true,32581.79094,0.0016800912498669157,198,1554.801585,4,37.081561,20,184.025994,55799374,51659131,57213416,2026-01-08T03:02:06.000Z,2357
MVEG3HN6TBXJEALGP4OK4ATQQZM6DIXNKI2RM3QWXQJTYEKCSWZJYU4MYU,,No,true,32518.467818,0.0016768259713135555,187,1696.010323,2,18.32334,14,128.581206,55801103,46515412,57784977,2026-01-26T21:50:12.000Z,3358
RXLCH7DDJAGZ5E2VP5NDAAWVNWC6BJ7DQDRJ2EUYNVOD7OIL7TI4O6GJC4,,No,true,32511.004844,0.0016764411404938352,129,1232.337315,2,18.28934,13,120.673354,55788103,54333150,56145737,2025-12-04T00:56:04.000Z,1347
AKD2CCN6HNBFWYYB6EFGMPKOHYOCQ4YRIOALSBHK3HZRJUNFGBQX57KX34,,No,true,32495.130687,0.001675622584131362,117,1106.513806,2,18.297845,25,230.048554,55800903,54267164,60267164,2026-04-18T11:35:19.000Z,2450
L245J5BPNASBA4P6I3RA2UVDIWL7IST4KSKLFGB7SZLTW7QYUDG3H5UUJ4,,No,true,32412.376402,0.0016713553309784116,126,1190.466176,2,18.31034,20,183.208174,55786103,53981841,56758983,2025-12-24T04:36:51.000Z,1667
CVBBO6DAOEV6HYEISR2BDHQJLOJHBLBYF34SV7PAMZXDZIK3VAFQ4LKHXI,,No,true,32411.533383,0.0016713118604138875,59,550.519549,5,45.820714,11,101.278592,55804103,55464627,58464627,2026-02-18T05:53:26.000Z,1733
2MNSUBAPMPPADDZV2TBGLAQ6V33T5LMMBAP7JVBT4P5VWD555PBJEI4QY4,,No,true,32384.096571,0.0016698970717716564,71,663.953189,1,9.16267,17,155.928727,55725365,55647482,56573196,2025-12-18T02:04:49.000Z,963
YDR66WNFKAWQETNBVPQYJAZNNTY5QQTXJX7S4TUJJHLYPZSLSNQIO7N55M,,No,true,32379.393106,0.0016696545359821075,18,166.599783,3,27.502691,18,166.599783,55775799,54866584,57866584,2026-01-29T14:12:07.000Z,1733
5M4VJ6BQI2KPKZG2KM4TV4FDU76KAJYU6456YZQHK4Y6FFXRPNP3EPRM7A,,No,true,32343.787303,0.0016678185105108577,113,1082.572527,3,27.873828,10,92.037523,55784564,52559446,57795809,2026-01-27T06:22:49.000Z,2289
UUZEYYTHHSL425Z4FFMMOFFGNTXOMNJJ4NJLSOFSNPWXJNOV5OQQQSF6M4,,No,true,32329.760967,0.0016670952376734406,171,1637.146773,1,9.14267,21,193.185337,55781103,47071005,58455842,2026-02-17T22:57:42.000Z,3375
JD232DY3QM4TVLW7KYQ64RKH6EFZJME7DG5A3FTY6BQIE3L5OB7NI5PIMU,,No,true,32302.406762,0.0016656847086895614,67,630.414295,2,18.28959,8,73.342188,55799310,55433495,56797705,2025-12-25T11:09:18.000Z,1168
ZFKXCJE66XRLURAP56HY333WWKYYAILFBAFCRFZLDQK6NJXJALZ5UIARWA,,No,true,32298.903961,0.0016655040855519027,145,1269.966742,0,0,9,82.877462,55654103,53840645,56840645,2025-12-26T21:01:22.000Z,1733
WXNVQ4STWFPUEDK7XPJHCSUOO5QPAIKOCTN2UMSZTL24GZJNHVYAPHH5QI,,No,true,32298.352383,0.001665475643242727,157,1518.508329,1,9.14467,12,110.321869,55793912,46497416,60000000,2026-04-09T16:52:15.000Z,3675
2ORHNLIILMB4H5ZMTU5PYDFF6QBWBRZ2LWREZF6M2M24ZIDJIRQW5GG6G4,,No,true,32271.644868,0.0016640984610509983,123,1164.833227,2,18.29434,19,174.514168,55796495,53927352,56704494,2025-12-22T09:38:16.000Z,1667
GE6KQFTUL5BJGZII64PRTQORL2QGD3M23PYQK43ZOJCFJDP2MLN5HWNEIY,,No,true,32254.078862,0.0016631926639132637,155,1486.016264,2,18.29684,16,147.273222,55795236,53108095,55885237,2025-11-25T11:28:22.000Z,1667
KYQMDBNW62PFVR7ZDHZJ2VG7UU2QFAA62MJA2BUZN37BMYDXLBHCBHXNC4,,No,true,32250.599337,0.0016630132410105465,123,1150.537574,0,0,13,110.340679,55806815,53204271,56204271,2025-12-05T23:06:05.000Z,1733
WAQ22LL7UYM6MAJF2QKAJRUG57WZWV63YBCBNTBFJKX7QJCVK2CWIQFAN4,,No,true,32237.157611,0.0016623201137887403,91,860.353759,4,36.58218,11,100.8084,55800173,55282910,58282910,2026-02-12T06:34:00.000Z,1733
HFB4DRSRQ3Y2FU5V2G5IJMSSXNYCCAXJU34TZTJ3IFQKWIYFMRTMS5VHXY,,No,true,32188.75023,0.0016598239705473562,19,157.19808,1,9.14517,10,92.468215,55794271,53324495,56324495,2025-12-09T21:55:29.000Z,1733
46XYR7OTRZXISI2TRSBDWPUVQT4ECBWNI7TFWPPS6EKAPJ7W5OBXSNG66M,,No,true,32161.49741,0.0016584186695158532,66,615.718059,2,18.28334,17,155.78295,55798103,54165279,56912982,2025-12-29T06:04:35.000Z,1658
NFRNTHB6IM3KPAHVXCBYMVFESJ7P26O6WPC35A2NACZXTZ6CCS5IUG6MAM,,No,true,32142.860103,0.001657457630373792,178,1632.927831,0,0,17,155.981043,55789103,54472760,57259856,2026-01-09T15:39:47.000Z,1670
LLXNE4W5SE3RPEMGSB5WXL4DWZVTBIBMNRUSS5CQWFLVGFWBLAGB4ANLKU,,No,true,32119.551891,0.0016562557344097749,120,1140.53483,5,45.7521,20,183.43719,55806003,55805977,57677457,2026-01-23T09:02:01.000Z,1369
KOUTQEB2SQLTMTJYGVVQFNGPBOJHBAPL4ZFJRWB7R2QBNDMGWTAL6X24F4,,No,true,32104.281167,0.0016554682942773776,125,1182.246253,2,18.28534,22,202.04025,55790103,54827864,57827864,2026-01-28T07:39:45.000Z,1733
HA6WD2F2MGGQG2XF2MELLAOWG7D7Z6BGX2AABAEZ55FHMT4UXYYVGLMA2M,,No,true,32027.501505,0.0016515091246132086,43,398.305082,0,0,19,174.84088,55803014,55313247,56238961,2025-12-07T02:27:44.000Z,963
F663LFSVWYY2SRTCYFJOLWFCL42T2ZSDIEITCHAJDRGEGBMKCLTSD6PVA4,,No,true,31958.292517,0.0016479403393562819,107,955.122906,0,0,0,0,53994239,52861534,55861534,2025-11-24T16:46:40.000Z,1733
LFC362SDCZKEEO57NXV52CXCOQLC5CIMSWASOVMTDQXOTCYZP463FYD2IM,,No,true,31936.388111,0.0016468108311312154,154,1451.19167,1,9.14442,5,45.846839,55804012,55495939,61030458,2026-05-13T13:36:51.000Z,2353
B7HKG2FDOVEP22HP6HXYEJ3XKQZTAK2CW6YP37P3VUZUIVRY2UCMMLDW64,,No,true,31936.182576,0.0016468002326482875,171,1645.535124,0,0,12,109.989146,55805103,46294944,56294944,2025-12-08T22:37:02.000Z,3163
S6TYREQL5LHLUBFPW7H5YFVU5QH5JPWJL7OPEBPHKRQX5SIZ54VSLVV6CE,,No,true,31931.114149,0.001646538877467752,132,1262.686998,3,27.488608,18,165.05427,55756103,53528849,56305991,2025-12-09T07:19:48.000Z,1667
CNRSFPPGAFQWZI7PJBBX4OGQJIOKXBGGJ4C4IJRLPS4VM6USCM4NXOO3YI,,No,true,31908.786953,0.0016453875679310005,168,1359.531308,0,0,6,55.12158,55804103,55349621,58349621,2026-02-14T11:10:59.000Z,1733
F3NTYBTF6Z2OW5R6APUSZLPDYDHOLEG6SC4V5QPZDESSN3GWPJFSDNIH24,,No,true,31878.576549,0.0016438297580638628,165,1587.928656,0,0,11,101.513991,55762103,46294944,56294944,2025-12-08T22:37:02.000Z,3163
QBRQ7LALKK2UMKC3HJUD7LF2HZIBLISCTFFMPRODWIY3V73ZCVWZWOUCKQ,,No,true,31871.278282,0.0016434534204172162,103,968.707888,1,9.14617,23,211.361493,55806103,52675568,56378425,2025-12-11T16:27:37.000Z,1925
