round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes,soft_unique_amplification_on_time,soft_unique_amplification_total,soft_message_amplification_on_time,soft_message_amplification_total,soft_duplication_on_time,soft_duplication_total,soft_total_messages,cert_unique_amplification_on_time,cert_unique_amplification_total,cert_message_amplification_on_time,cert_message_amplification_total,cert_duplication_on_time,cert_duplication_total,cert_total_messages,next_unique_amplification_on_time,next_unique_amplification_total,next_message_amplification_on_time,next_message_amplification_total,next_duplication_on_time,next_duplication_total,next_total_messages
55874397,8,310,121,0,0,0,366,183,0,310,121,509,248,1,1,2815,0,46,113,0.10367892976588629,0.17023411371237457,0.10367892976588629,0.22608695652173913,1.0,1.3280943025540275,676.0,0.08066666666666666,0.16533333333333333,0.08066666666666666,0.20266666666666666,1.0,1.2258064516129032,304.0,0.0,0.0,0.0,0.0,,,0.0
55874398,9,312,132,0,0,0,332,179,0,312,132,483,250,1,1,2761,0,46,117,0.10434782608695652,0.16153846153846155,0.10434782608695652,0.2153846153846154,1.0,1.3333333333333333,644.0,0.088,0.16666666666666666,0.088,0.20733333333333334,1.0,1.244,311.0,0.0,0.0,0.0,0.0,,,0.0
55874399,7,311,135,0,0,0,330,198,0,311,135,482,266,1,1,2715,0,46,135,0.1040133779264214,0.16120401337792642,0.1040133779264214,0.21438127090301004,1.0,1.329875518672199,641.0,0.09,0.17733333333333334,0.09,0.222,1.0,1.2518796992481203,333.0,0.0,0.0,0.0,0.0,,,0.0
55874400,4,337,148,0,0,0,328,189,0,337,148,502,262,1,1,3044,0,46,100,0.11270903010033445,0.16789297658862876,0.11270903010033445,0.22240802675585283,1.0,1.3247011952191234,665.0,0.09866666666666667,0.17466666666666666,0.09866666666666667,0.22466666666666665,1.0,1.286259541984733,337.0,0.0,0.0,0.0,0.0,,,0.0
55874401,10,325,128,0,0,0,356,191,0,325,128,516,251,1,1,2643,0,46,128,0.10869565217391304,0.1725752508361204,0.10869565217391304,0.22775919732441471,1.0,1.319767441860465,681.0,0.08533333333333333,0.16733333333333333,0.08533333333333333,0.21266666666666667,1.0,1.2709163346613546,319.0,0.0,0.0,0.0,0.0,,,0.0
55874402,6,306,123,0,0,0,340,187,0,306,123,485,243,1,1,2708,0,46,104,0.10234113712374582,0.16220735785953178,0.10234113712374582,0.21605351170568562,1.0,1.3319587628865979,646.0,0.082,0.162,0.082,0.20666666666666667,1.0,1.2757201646090535,310.0,0.0,0.0,0.0,0.0,,,0.0
55874403,8,298,138,0,0,0,317,178,0,298,138,466,250,1,1,2861,0,46,138,0.09966555183946488,0.15585284280936454,0.09966555183946488,0.205685618729097,1.0,1.3197424892703862,615.0,0.092,0.16666666666666666,0.092,0.21066666666666667,1.0,1.264,316.0,0.0,0.0,0.0,0.0,,,0.0
55874404,7,299,130,0,0,0,328,207,0,299,130,480,273,1,1,2682,0,46,119,0.1,0.1605351170568562,0.1,0.2096989966555184,1.0,1.30625,627.0,0.08666666666666667,0.182,0.08666666666666667,0.22466666666666665,1.0,1.2344322344322345,337.0,0.0,0.0,0.0,0.0,,,0.0
55874405,4,286,124,0,0,0,328,194,0,286,124,460,252,1,1,2794,0,46,92,0.09565217391304348,0.15384615384615385,0.09565217391304348,0.20535117056856186,1.0,1.3347826086956522,614.0,0.08266666666666667,0.168,0.08266666666666667,0.212,1.0,1.2619047619047619,318.0,0.0,0.0,0.0,0.0,,,0.0
55874406,7,318,144,0,0,0,311,184,0,318,144,475,258,1,1,2804,0,46,136,0.10635451505016723,0.1588628762541806,0.10635451505016723,0.21036789297658862,1.0,1.3242105263157895,629.0,0.096,0.172,0.096,0.21866666666666668,1.0,1.2713178294573644,328.0,0.0,0.0,0.0,0.0,,,0.0
55874407,6,287,111,0,0,0,340,186,0,287,111,474,240,1,1,2758,0,46,111,0.0959866220735786,0.15852842809364548,0.0959866220735786,0.2096989966555184,1.0,1.3227848101265822,627.0,0.074,0.16,0.074,0.198,1.0,1.2375,297.0,0.0,0.0,0.0,0.0,,,0.0
