round,step,period,category,proposal_block_digest,proposal_encoding_digest,proposal_original_period,proposal_original_proposer,unique_senders,total_messages
55874387,1,0,late,b010cda3e8ff889e472be3ce5419f4ece42bc449120fbb11feddcb04b9e473c7,0765ae7cbcd572bc1faf6cfac42caf6a90bfa9e5bdf741806c0bb285da237754,0,D6CCE7DL3GSVOCQDPWMNR5V7JEKGXOJACCU4A4K76DLJHZ4H47WRVBPUNY,328,328
55874387,1,0,on_time,ef9b823c19bf7b15fe1061e2ad5005cbfb324150eff9ee5c8395bd0e44481c58,850f70813d6fc03a0f646105c6eb02cf54f73a3ad8d2e0054150ce1a88f5ffb1,0,UDYUM7BGCA2FR3EXUGJDB2OCY64HS2SH5PQQJPCMLQZ6BOXCQLCSY2SITE,316,316
55874387,2,0,on_time,ef9b823c19bf7b15fe1061e2ad5005cbfb324150eff9ee5c8395bd0e44481c58,850f70813d6fc03a0f646105c6eb02cf54f73a3ad8d2e0054150ce1a88f5ffb1,0,UDYUM7BGCA2FR3EXUGJDB2OCY64HS2SH5PQQJPCMLQZ6BOXCQLCSY2SITE,129,129
55874388,1,0,on_time,e77d204429ad4f918ae9b5987b465e2f20f54bdec1bfdcda3b008205afeea1e2,8b995344a31302b3ae79a0142621c9a2cb1f16468dcb04238fb018b4057475fb,0,D6CCE7DL3GSVOCQDPWMNR5V7JEKGXOJACCU4A4K76DLJHZ4H47WRVBPUNY,340,340
55874388,2,0,on_time,e77d204429ad4f918ae9b5987b465e2f20f54bdec1bfdcda3b008205afeea1e2,8b995344a31302b3ae79a0142621c9a2cb1f16468dcb04238fb018b4057475fb,0,D6CCE7DL3GSVOCQDPWMNR5V7JEKGXOJACCU4A4K76DLJHZ4H47WRVBPUNY,129,129
55874388,2,0,late,ef9b823c19bf7b15fe1061e2ad5005cbfb324150eff9ee5c8395bd0e44481c58,850f70813d6fc03a0f646105c6eb02cf54f73a3ad8d2e0054150ce1a88f5ffb1,0,UDYUM7BGCA2FR3EXUGJDB2OCY64HS2SH5PQQJPCMLQZ6BOXCQLCSY2SITE,209,209
55874388,1,0,late,ef9b823c19bf7b15fe1061e2ad5005cbfb324150eff9ee5c8395bd0e44481c58,850f70813d6fc03a0f646105c6eb02cf54f73a3ad8d2e0054150ce1a88f5ffb1,0,UDYUM7BGCA2FR3EXUGJDB2OCY64HS2SH5PQQJPCMLQZ6BOXCQLCSY2SITE,328,328
55874389,1,0,late,e77d204429ad4f918ae9b5987b465e2f20f54bdec1bfdcda3b008205afeea1e2,8b995344a31302b3ae79a0142621c9a2cb1f16468dcb04238fb018b4057475fb,0,D6CCE7DL3GSVOCQDPWMNR5V7JEKGXOJACCU4A4K76DLJHZ4H47WRVBPUNY,373,373
55874389,2,0,late,e77d204429ad4f918ae9b5987b465e2f20f54bdec1bfdcda3b008205afeea1e2,8b995344a31302b3ae79a0142621c9a2cb1f16468dcb04238fb018b4057475fb,0,D6CCE7DL3GSVOCQDPWMNR5V7JEKGXOJACCU4A4K76DLJHZ4H47WRVBPUNY,201,201
55874389,1,0,on_time,e7af61d14ed5371e324666a03b7a4844d24ee809ffce072b62ae227090783778,d776d440d85cb4471183bdbc31ccc6769b5c3a9b977dc54fd09ee43dc649d972,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,317,317
55874389,2,0,on_time,e7af61d14ed5371e324666a03b7a4844d24ee809ffce072b62ae227090783778,d776d440d85cb4471183bdbc31ccc6769b5c3a9b977dc54fd09ee43dc649d972,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,153,153
55874390,2,0,late,e7af61d14ed5371e324666a03b7a4844d24ee809ffce072b62ae227090783778,d776d440d85cb4471183bdbc31ccc6769b5c3a9b977dc54fd09ee43dc649d972,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,221,221
55874390,1,0,late,e7af61d14ed5371e324666a03b7a4844d24ee809ffce072b62ae227090783778,d776d440d85cb4471183bdbc31ccc6769b5c3a9b977dc54fd09ee43dc649d972,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,331,331
55874390,1,0,on_time,2f1b88048622ac0301ea25cf6e0593ae19d8442f3940f42f0f41e9f6fcb38716,9e8a5e517aef6df8edcfb019f59b9899d9badcddcbba877eb2e82466a861d657,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,311,311
55874390,2,0,on_time,2f1b88048622ac0301ea25cf6e0593ae19d8442f3940f42f0f41e9f6fcb38716,9e8a5e517aef6df8edcfb019f59b9899d9badcddcbba877eb2e82466a861d657,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,125,125
55874391,2,0,late,2f1b88048622ac0301ea25cf6e0593ae19d8442f3940f42f0f41e9f6fcb38716,9e8a5e517aef6df8edcfb019f59b9899d9badcddcbba877eb2e82466a861d657,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,198,198
