round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes
55874444,5,296,126,0,0,0,322,189,0,296,126,475,244,1,1,2700,0,56,126
55874445,2,283,124,0,0,0,320,173,0,283,124,450,232,1,1,3025,0,56,68
55874446,6,298,122,0,0,0,308,175,0,298,122,459,229,1,1,2555,0,56,122
55874447,8,323,135,0,0,0,317,194,0,323,135,477,262,1,1,2909,0,56,133
55874448,5,307,132,0,0,0,343,190,0,307,132,484,255,1,1,2703,0,56,108
55874449,9,318,140,0,0,0,336,191,0,318,140,486,265,1,1,3099,0,56,138
55874450,7,330,127,0,0,0,332,187,0,330,127,489,246,1,1,2607,0,56,95
55874451,4,305,137,0,0,0,350,193,0,305,137,495,266,1,1,2753,0,56,112
55874452,6,349,158,0,0,0,324,187,0,349,158,515,270,1,1,2853,0,56,120
55874453,6,343,151,0,0,0,367,198,0,343,151,532,276,1,1,3004,0,56,149
55874454,5,323,147,0,0,0,354,213,0,323,147,498,290,1,1,2655,0,56,147
55874455,5,334,140,0,0,0,344,197,0,334,140,496,275,1,1,2981,0,56,124
55874456,12,305,113,0,0,0,350,200,0,305,113,496,247,1,1,2455,0,56,95
55874457,9,316,134,0,0,0,325,189,0,316,134,484,260,1,1,2858,0,56,113
55874458,7,307,135,0,0,0,334,197,0,307,135,484,267,1,1,2857,0,55,123
55874459,4,310,118,0,0,0,328,184,0,310,118,482,243,1,1,2762,0,55,100
55874460,8,301,122,0,0,0,323,193,0,301,122,460,248,1,1,2782,0,55,120
55874461,7,300,122,0,0,0,320,168,0,300,122,460,229,1,1,2679,0,55,122
55874462,3,300,116,0,0,0,313,196,0,300,116,467,247,1,1,2779,0,55,104
55874463,7,324,124,0,0,0,318,189,0,324,124,486,253,1,1,2820,0,55,124
55874464,5,325,137,0,0,0,354,186,0,325,137,513,263,1,1,2880,0,55,124
55874465,6,320,145,0,0,0,343,202,0,320,145,499,283,1,1,2949,0,55,125
55874466,6,288,123,0,0,0,335,189,0,288,123,463,255,1,1,2624,0,55,65
55874467,5,326,132,0,0,0,315,178,0,326,132,477,241,1,1,2746,0,55,128
55874468,8,305,129,0,0,0,344,184,0,305,129,483,246,1,1,2953,0,55,98
55874469,8,336,138,0,0,0,320,196,0,336,138,488,264,1,1,2764,0,55,138
55874470,8,302,126,0,0,0,357,203,0,302,126,493,267,1,1,2914,0,55,103
55874471,4,304,144,0,0,0,312,202,0,304,144,466,272,1,1,2602,0,55,135
55874472,6,315,141,0,0,0,328,211,0,315,141,483,278,1,1,2905,0,55,139
55874473,6,316,155,0,0,0,330,199,0,316,155,487,280,1,1,3333,0,55,129
55874474,9,323,129,0,0,0,333,206,0,323,129,483,265,1,1,2350,0,55,124
55874475,9,298,110,0,0,0,348,206,0,298,110,487,253,1,1,2651,0,55,107
55874476,5,330,134,0,0,0,318,184,0,330,134,492,250,1,1,2825,0,55,134
55874477,6,296,130,0,0,0,355,193,0,296,130,490,261,1,1,2766,0,55,112
55874478,5,323,153,0,0,0,326,208,0,323,153,494,284,1,1,2850,0,55,153
55874479,7,328,143,0,0,0,334,206,0,328,143,499,281,1,1,2851,0,55,128
55874480,8,322,152,0,0,0,335,197,0,322,152,491,277,1,1,2909,0,54,140
55874481,6,314,128,0,0,0,344,196,0,314,128,503,252,1,1,2599,0,54,126
55874482,7,298,127,0,0,0,344,200,0,298,127,469,258,1,1,2739,0,54,118
55874483,6,318,119,0,0,0,319,191,0,318,119,471,251,1,1,2805,0,54,109
55874484,7,329,126,0,0,0,332,188,0,329,126,492,252,1,1,2908,0,54,123
55874485,9,303,144,0,0,0,347,178,0,303,144,488,256,1,1,3010,0,54,97
55874486,11,304,141,0,0,0,319,185,0,304,141,464,259,1,1,2763,0,54,125
55874487,5,344,157,0,0,0,320,185,0,344,157,513,272,1,1,2800,0,54,109
55874488,4,325,163,0,0,0,356,193,0,325,163,511,289,1,1,2780,0,54,154
55874489,5,316,168,0,0,0,321,207,0,316,168,494,299,1,1,2831,0,54,168
55874490,5,303,115,0,0,0,329,219,0,303,115,485,267,1,1,2685,0,54,102
55874491,5,319,133,0,0,0,323,180,0,319,133,489,242,1,1,2791,0,54,133
55874492,10,302,132,0,0,0,347,190,0,302,132,494,255,1,1,2825,0,54,127
55874493,6,317,154,0,0,0,324,196,0,317,154,490,279,1,1,2939,0,55,143
55874494,8,305,156,0,0,0,341,205,0,305,156,488,288,1,1,2812,0,55,152
55874495,7,316,153,0,0,0,324,204,0,316,153,478,284,1,1,3140,0,55,146
55874496,7,312,151,0,0,0,325,190,0,312,151,471,269,1,1,2509,0,55,151
55874497,6,296,147,0,0,0,338,194,0,296,147,474,272,1,1,2710,0,55,121
55874498,4,308,155,0,0,0,316,201,0,308,155,481,279,1,1,2951,0,55,148
55874499,11,292,141,0,0,0,331,199,0,292,141,466,261,1,1,2749,0,55,122
55874500,8,342,134,0,0,0,316,206,0,342,134,482,264,1,1,3175,0,55,102
55874501,8,310,163,0,0,0,353,175,0,310,163,502,263,1,1,2610,0,55,162
55874502,5,322,131,0,0,0,329,198,0,322,131,492,259,1,1,2702,0,55,131
55874503,6,316,133,0,0,0,339,194,0,316,133,504,262,1,1,2714,0,55,133
55874504,6,332,157,0,0,0,340,190,0,332,157,506,281,1,1,3024,0,55,155
55874505,5,322,141,0,0,0,338,198,0,322,141,492,273,1,1,2974,0,55,136
55874506,8,303,146,0,0,0,340,184,0,303,146,490,263,1,1,2649,0,55,142
55874507,7,296,132,0,0,0,329,195,0,296,132,479,258,1,1,2682,0,55,95
55874508,8,316,124,0,0,0,320,193,0,316,124,471,255,1,1,2860,0,55,124
55874509,5,311,145,0,0,0,339,189,0,311,145,494,260,1,1,2806,0,55,144
55874510,5,318,161,0,0,0,334,185,0,318,161,484,280,1,1,3306,0,55,161
55874511,4,320,141,0,0,0,337,206,0,320,141,500,274,1,1,2590,0,55,137
55874512,4,318,143,0,0,0,336,184,0,318,143,498,261,1,1,2568,0,55,143
55874513,4,310,172,0,0,0,343,194,0,310,172,491,290,1,1,3071,0,55,167
55874514,7,308,124,0,0,0,323,220,0,308,124,472,274,1,1,2549,0,55,114
55874515,4,311,160,0,0,0,325,190,0,311,160,466,281,1,1,2825,0,55,159
55874516,4,311,133,0,0,0,320,212,0,311,133,473,275,1,1,2677,0,55,129
55874517,6,322,153,0,0,0,335,210,0,322,153,487,291,1,1,2947,0,55,153
55874518,7,304,148,0,0,0,335,203,0,304,148,479,278,1,1,2855,0,55,147
55874519,7,332,144,0,0,0,310,198,0,332,144,494,278,1,1,2859,0,55,134
55874520,9,340,169,0,0,0,340,201,0,340,169,525,297,1,1,2927,0,55,122
55874521,6,317,150,0,0,0,340,212,0,317,150,498,294,1,1,2757,0,55,150
55874522,6,349,150,0,0,0,321,201,0,349,150,502,284,1,1,3066,0,54,135
55874523,4,338,138,0,0,0,358,201,0,338,138,528,274,1,1,2629,0,54,138
55874524,7,324,155,0,0,0,349,175,0,324,155,511,263,1,1,2772,0,54,155
55874525,6,332,162,0,0,0,336,200,0,332,162,505,289,1,1,2862,0,54,162
55874526,7,317,168,0,0,0,341,209,0,317,168,496,295,1,1,2850,0,54,162
55874527,3,333,135,0,0,0,331,208,0,333,135,505,275,1,1,2729,0,54,116
55874528,6,330,157,0,0,0,336,184,0,330,157,505,270,1,1,3063,0,54,157
55874529,6,313,141,0,0,0,337,194,0,313,141,478,270,1,1,2743,0,54,128
55874530,12,325,152,0,0,0,328,176,0,325,152,506,264,1,1,3041,0,54,152
55874531,8,328,157,0,0,0,332,190,0,328,157,503,275,1,1,2579,0,54,142
55874532,4,322,141,0,0,0,337,191,0,322,141,504,258,1,1,2746,0,54,118
55874533,5,341,131,0,0,0,346,191,0,341,131,513,257,1,1,2887,0,54,87
55874534,5,353,167,0,0,0,357,195,0,353,167,543,281,1,1,3107,0,54,140
55874535,5,314,176,0,0,0,360,205,0,314,176,512,305,1,1,2704,0,54,148
55874536,5,324,156,0,0,0,325,215,0,324,156,485,289,1,1,2711,0,54,143
55874537,5,343,135,0,0,0,345,217,0,343,135,517,278,1,1,2972,0,54,135
55874538,5,323,151,0,0,0,352,172,0,323,151,518,262,1,1,2725,0,54,147
55874539,4,301,152,0,0,0,333,198,0,301,152,483,278,1,1,2725,0,54,152
55874540,7,306,127,0,0,0,315,200,0,306,127,475,261,1,1,2905,0,54,109
55874541,8,307,129,0,0,0,323,187,0,307,129,487,245,1,1,2729,0,54,129
55874542,9,324,142,0,0,0,323,167,0,324,142,486,238,1,1,2852,0,54,112
55874543,4,311,141,0,0,0,342,189,0,311,141,492,262,1,1,2832,0,54,136
55874544,6,305,156,0,0,0,327,194,0,305,156,477,283,1,1,3039,0,54,138
55874545,7,325,138,0,0,0,294,198,0,325,138,462,271,1,1,2884,0,54,132
55874546,10,321,156,0,0,0,337,183,0,321,156,495,269,1,1,2625,0,54,156
55874547,5,313,142,0,0,0,335,208,0,313,142,476,285,1,1,2989,0,54,134
55874548,6,304,145,0,0,0,331,206,0,304,145,486,275,1,1,3073,0,54,128
55874549,4,300,135,0,0,0,317,191,0,300,135,474,257,1,1,2847,0,54,115
55874550,7,295,130,0,0,0,310,181,0,295,130,453,249,1,1,2758,0,54,87
55874551,2,324,144,0,0,0,307,169,0,324,144,465,244,1,1,2547,0,54,123
55874552,4,312,160,0,0,0,334,185,0,312,160,476,275,1,1,2865,0,54,120
55874553,9,301,139,0,0,0,322,187,0,301,139,464,253,1,1,2852,0,54,139
55874554,5,314,154,0,0,0,314,191,0,314,154,478,270,1,1,2757,0,54,119
55874555,3,306,140,0,0,0,325,185,0,306,140,475,253,1,1,2759,0,54,127
55874556,6,319,128,0,0,0,320,184,0,319,128,482,249,1,1,2757,0,54,121
55874557,4,330,160,0,0,0,332,182,0,330,160,498,261,1,1,2723,0,54,102
55874558,2,337,145,0,0,0,344,196,0,337,145,517,270,1,1,2947,0,54,138
55874559,4,307,154,0,0,0,347,177,0,307,154,492,265,1,1,2764,0,54,154
55874560,5,323,142,0,0,0,325,200,0,323,142,483,277,1,1,2786,0,54,110
55874561,4,356,145,0,0,0,313,177,0,356,145,511,256,1,1,2910,0,54,144
55874562,6,311,164,0,0,0,371,181,0,311,164,515,273,1,1,2798,0,54,117
55874563,9,310,144,0,0,0,323,219,0,310,144,470,286,1,1,2798,0,54,143
55874564,6,315,140,0,0,0,318,185,0,315,140,471,257,1,1,2795,0,54,132
55874565,7,326,134,0,0,0,322,191,0,326,134,480,264,1,1,3037,0,54,134
55874566,9,320,128,0,0,0,345,184,0,320,128,508,254,1,1,2496,0,54,90
55874567,9,320,146,0,0,0,335,198,0,320,146,489,280,1,1,2747,0,54,146
55874568,3,330,143,0,0,0,332,202,0,330,143,497,275,1,1,2909,0,54,119
55874569,2,342,157,0,0,0,341,192,0,342,157,510,278,1,1,2957,0,54,126
55874570,5,318,151,0,0,0,348,196,0,318,151,503,279,1,1,2729,0,54,122
55874571,7,312,137,0,0,0,335,202,0,312,137,491,269,1,1,2708,0,54,137
55874572,5,327,155,0,0,0,329,186,0,327,155,476,260,1,1,3138,0,54,145
55874573,8,313,149,0,0,0,338,186,0,313,149,483,263,1,1,2615,0,54,149
55874574,8,331,139,0,0,0,321,192,0,331,139,489,255,1,1,2750,0,54,113
55874575,4,360,157,0,0,0,342,188,0,360,157,524,270,1,1,2989,0,54,155
55874576,3,308,132,0,0,0,367,204,0,308,132,513,264,1,1,2505,0,54,119
55874577,4,300,143,0,0,0,331,174,0,300,143,491,244,1,1,3005,0,54,134
55874578,9,304,148,0,0,0,310,192,0,304,148,460,269,1,1,2739,0,54,144
55874579,7,300,124,0,0,0,320,194,0,300,124,470,253,1,1,2714,0,54,114
55874580,9,303,137,0,0,0,322,171,0,303,137,474,237,1,1,2861,0,54,108
55874581,5,314,140,0,0,0,311,179,0,314,140,465,253,1,1,2741,0,54,137
55874582,3,319,139,0,0,0,325,184,0,319,139,477,265,1,1,2866,0,54,139
55874583,4,321,152,0,0,0,330,177,0,321,152,479,266,1,1,2762,0,54,122
55874584,8,303,142,0,0,0,339,196,0,303,142,484,274,1,1,2679,0,54,131
55874585,7,330,139,0,0,0,333,196,0,330,139,497,269,1,1,2756,0,54,131
55874586,6,313,141,0,0,0,347,183,0,313,141,489,246,1,1,2918,0,54,115
55874587,6,309,125,0,0,0,321,188,0,309,125,476,243,1,1,2705,0,54,121
55874588,1,305,139,0,0,0,324,176,0,305,139,483,254,1,1,2906,0,54,129
55874589,7,284,140,0,0,0,321,192,0,284,140,458,270,1,1,2605,0,54,140
