round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes
55874691,6,343,145,0,0,0,346,229,0,343,145,508,301,1,1,2708,0,54,132
55874692,3,301,143,0,0,0,350,185,0,301,143,491,257,1,1,2764,0,54,142
55874693,7,303,137,0,0,0,315,183,0,303,137,473,255,1,1,2695,0,54,104
55874694,5,317,144,0,0,0,312,206,0,317,144,477,274,1,1,2716,0,54,120
55874695,4,325,124,0,0,0,323,177,0,325,124,498,233,1,1,3160,0,54,124
55874696,8,311,121,0,0,0,358,210,0,311,121,510,261,1,1,2589,0,54,121
55874697,8,313,152,0,0,0,400,231,0,313,152,549,299,1,1,2649,0,54,150
55874698,7,298,145,0,0,0,326,199,0,298,145,472,268,1,1,2641,0,54,145
55874699,5,312,162,0,0,0,457,229,0,312,162,569,312,1,1,2990,0,54,129
55874700,8,293,149,0,0,0,374,229,0,293,149,502,304,1,1,2798,0,54,129
55874701,7,333,131,0,0,0,416,251,0,333,131,553,297,1,1,2762,0,54,130
55874702,6,301,143,0,0,0,374,202,0,301,143,512,275,1,1,2765,0,54,143
55874703,5,312,134,0,0,0,415,219,0,312,134,538,283,1,1,2980,0,54,114
55874704,8,317,131,0,0,0,410,245,0,317,131,534,301,1,1,2560,0,54,121
55874705,3,299,155,0,0,0,418,255,0,299,155,538,329,1,1,2933,0,54,113
55874706,8,292,127,0,0,0,441,202,0,292,127,550,265,1,1,2591,0,54,123
55874707,4,288,134,0,0,0,399,260,0,288,134,515,320,1,1,2755,0,54,115
55874708,5,311,128,0,0,0,389,226,0,311,128,529,279,1,1,2630,0,54,83
55874709,5,294,153,0,0,0,368,214,0,294,153,505,284,1,1,2901,0,54,96
55874710,6,276,141,0,0,0,407,215,0,276,141,517,279,1,1,2770,0,54,96
55874711,4,331,129,0,0,0,314,243,0,331,129,485,293,1,1,2772,0,54,118
55874712,6,301,148,0,0,0,467,199,0,301,148,579,270,1,1,2734,0,54,117
55874713,8,321,146,0,0,0,350,236,0,321,146,509,295,1,1,2814,0,54,117
55874714,9,311,143,0,0,0,414,179,0,311,143,547,257,1,1,2732,0,54,143
55874715,6,324,138,0,0,0,428,271,0,324,138,566,331,1,1,2898,0,54,95
55874716,5,304,135,0,0,0,530,283,0,304,135,629,331,1,1,2617,0,54,135
55874717,8,304,143,0,0,0,431,247,0,304,143,547,307,1,1,2828,0,54,143
55874718,6,290,108,0,0,0,367,255,0,290,108,496,290,1,1,2685,0,54,98
55874719,7,300,142,0,0,0,434,169,0,300,142,551,245,1,1,2851,0,54,140
